company_name,_name_key,country,region_bucket,revenue_eur_latest,ebitda_eur_latest,revenue_year,employees,industry_code,ownership_status,inactive,business_model_tags,source,stage_status
IT-CONSULT HALLE GMBH,it consult halle gmbh,DE,DACH,42592015.11,2055000.56,2024,279,6209,Private,False,,Orbis,raw
ORDERYOYO A/S,orderyoyo a s,DK,Denmark,42557258.8279198,6652826.91984527,2024,209,6201,Private,False,,Orbis,raw
FERRANTI COMPUTER SYSTEMS,ferranti computer systems,BE,Benelux,42425693.0,8463685.0,2024,205,4666,Private,False,,Orbis,raw
KIWI CONSULTING EDV-BERATUNG GMBH,kiwi consulting edv beratung gmbh,DE,DACH,37477312.76,5547231.3100000005,2025,14,6202,Private,False,,Orbis,raw
SOA PEOPLE,soa people,BE,Benelux,42035829.0,4581043.0,2024,148,6202,Private,False,,Orbis,raw
PLUTO TV EUROPE GMBH,pluto tv europe gmbh,DE,DACH,41838557.13,1193522.27,2024,29,6209,Private,False,,Orbis,raw
ELMOS,elmos,BE,Benelux,41737160.0,2239611.0,2024,102,5829,Private,False,,Orbis,raw
JUNGHEINRICH SYSTEMLOESUNGEN GMBH,jungheinrich systemloesungen gmbh,AT,DACH,41644596.21,2856397.29,2024,270,6209,Private,False,,Orbis,raw
APPVESTOR APS,appvestor aps,DK,Denmark,36794999.9999957,5480999.99993814,2025,90,6201,Private,False,,Orbis,raw
KOLLAB A/S,kollab a s,DK,Denmark,36516697.4185452,2195615.73283245,2025,127,6209,Private,False,,Orbis,raw
MVTEC SOFTWARE GMBH,mvtec software gmbh,DE,DACH,40884024.49,6381618.92,2024,266,6201,Private,False,,Orbis,raw
RIZING GERMANY GMBH,rizing germany gmbh,DE,DACH,38786622.74,2380737.74,2024,54,6202,Private,False,,Orbis,raw
THALES CYBER SOLUTIONS LUXEMBOURG S.A.,thales cyber solutions luxembourg s a,LU,Benelux,40354653.0,4481132.0,2024,n.v.,6201,Private,False,,Orbis,raw
INSCALE A/S,inscale a s,DK,Denmark,40309374.4095614,1339216.79453548,2024,671,6202,Private,False,,Orbis,raw
INFEUROPE,infeurope,LU,Benelux,35355067.0,2017151.0,2025,n.v.,6201,Private,False,,Orbis,raw
APPSFACTORY GMBH,appsfactory gmbh,DE,DACH,39954848.81,3326979.37,2024,373,6201,Private,False,,Orbis,raw
STEINBERG MEDIA TECHNOLOGIES GMBH,steinberg media technologies gmbh,DE,DACH,38324027.84,4813659.109999999,2024,n.v.,6201,Private,False,,Orbis,raw
"DVSE GESELLSCHAFT FUER DATENVERARBEITUNG, SERVICE & ENTWICKLUNG MBH",dvse gesellschaft fuer datenverarbeitung service entwicklung mbh,DE,DACH,39830002.13,2508199.71,2024,190,6209,Private,False,,Orbis,raw
ON-GEO GMBH,on geo gmbh,DE,DACH,39634480.68,7444363.91,2024,177,6209,Private,False,,Orbis,raw
CENTRIC BELGIUM,centric belgium,BE,Benelux,39589308.0,1927235.0,2024,174,6202,Private,False,,Orbis,raw
XERVICES GMBH,xervices gmbh,DE,DACH,39279368.86,3189515.9,2024,3,6201,Private,False,,Orbis,raw
ITAC SOFTWARE AG,itac software ag,DE,DACH,38543595.44,6642674.21,2024,122,6201,Private,False,,Orbis,raw
DOUBLESLASH NET-BUSINESS GMBH,doubleslash net business gmbh,DE,DACH,35734708.57,2590779.67,2024,213,6201,Private,False,,Orbis,raw
ACA IT - SOLUTIONS,aca it solutions,BE,Benelux,38116444.0,1410527.0,2024,147,4651,Private,False,,Orbis,raw
CHECK POINT SOFTWARE TECHNOLOGIES GMBH,check point software technologies gmbh,DE,DACH,38013473.160000004,1874437.85,2024,194,6201,Private,False,,Orbis,raw
HSH SOFT- UND HARDWARE VERTRIEBS GMBH,hsh soft und hardware vertriebs gmbh,DE,DACH,35626785.93,11032823.11,2023,247,6202,Private,False,,Orbis,raw
IPG AUTOMOTIVE GMBH,ipg automotive gmbh,DE,DACH,37879460.09,2418530.84,2024,265,6201,Private,False,,Orbis,raw
DYNAMORE GESELLSCHAFT FUER FEM INGENIEURDIENSTLEISTUNGEN MBH,dynamore gesellschaft fuer fem ingenieurdienstleistungen mbh,DE,DACH,37840770.0,6146771.67,2024,63,6201,Private,False,,Orbis,raw
ECKD GMBH,eckd gmbh,DE,DACH,37547510.11,4382412.75,2024,293,6202,Private,False,,Orbis,raw
ING. PUNZENBERGER COPA-DATA GMBH,ing punzenberger copa data gmbh,AT,DACH,37437715.660000004,8095447.41,2024,182,6201,Private,False,,Orbis,raw
AD ULTIMA,ad ultima,BE,Benelux,37407345.0,3086045.0,2024,103,4651,Private,False,,Orbis,raw
AMADEUS BENELUX,amadeus benelux,BE,Benelux,37327327.0,3071778.0,2024,100,6201,Private,False,,Orbis,raw
GRUEN SOFTWARE GROUP GMBH,gruen software group gmbh,DE,DACH,37279911.46,6800433.53,2024,311,6201,Private,False,,Orbis,raw
FIT IT,fit it,BE,Benelux,37244845.0,2827129.0,2024,137,6201,Private,False,,Orbis,raw
ORISE DIGITAL GMBH,orise digital gmbh,DE,DACH,35604221.92,4064087.09,2024,161,6202,Private,False,,Orbis,raw
